# timestamp x y z qx qy qz qw
1335706065.410258 -313.776076 -387.417618 11.843335 0.002486 0.054796 -2.684755 0.000000
1335706066.610198 -313.665519 -387.364774 11.842744 0.001433 -0.029303 -2.689780 0.000000
1335706067.010400 -313.667238 -387.365593 11.842753 0.002272 -0.035428 -2.689344 0.000000
1335706068.212046 -313.768294 -387.413865 11.843293 0.003403 -0.005575 -2.686434 0.000000
1335706069.010244 -313.789585 -387.424105 11.843408 0.003303 -0.012559 -2.684779 0.000000
1335706072.210663 -315.107524 -389.525670 11.871692 -0.005060 0.025218 -1.802956 0.000000
1335706072.610498 -315.177050 -389.884731 11.876608 -0.001477 -0.040602 -1.708002 0.000000
1335706105.410178 -315.222585 -391.546874 11.898999 0.003102 0.007450 -1.580412 0.000000
1335706107.412575 -315.222812 -391.567018 11.899255 0.002974 0.017085 -1.579892 0.000000
1335706116.611888 -315.222594 -391.552518 11.899071 0.003241 0.013242 -1.580433 0.000000
1335706119.410567 -315.222512 -391.546823 11.898999 0.002592 0.019611 -1.580923 0.000000
1335706121.814262 -315.222844 -391.555184 11.899104 0.003029 0.036655 -1.614861 0.000000
1335706122.216688 -315.223124 -391.559260 11.899154 0.003506 0.079260 -1.677434 0.000000
1335706122.610570 -315.227358 -391.586985 11.899487 0.011341 0.222000 -1.775959 0.000000
1335706123.010211 -315.168723 -391.358958 11.896842 0.011182 0.213287 -1.812773 0.000000
1335706123.810523 -314.925795 -390.318108 11.883834 -0.003078 0.088896 -1.823219 0.000000
1335706124.212041 -314.712488 -389.630699 11.874769 -0.014377 0.004014 -1.908641 0.000000
1335706124.612170 -314.450747 -388.968444 11.865743 -0.017701 -0.041480 -1.987965 0.000000
1335706125.011091 -314.117789 -388.314238 11.856615 -0.005733 -0.156636 -2.089338 0.000000
1335706125.410151 -313.779388 -387.743593 11.848463 -0.005865 -0.290530 -2.121440 0.000000
1335706125.811728 -313.623616 -387.496768 11.844903 0.007566 -0.236420 -2.151569 0.000000
1335706126.210598 -313.600831 -387.462411 11.844410 0.004410 -0.161830 -2.162215 0.000000
1335706127.010596 -313.792410 -387.744309 11.848439 -0.003202 0.016451 -2.167037 0.000000
