# timestamp x y z qx qy qz qw
1335706065.411126 -313.776076 -387.417618 11.843335 -0.000000 -0.000000 -0.000000 1.000000
1335706066.611192 -313.570723 -387.432006 11.814809 0.002757 0.017747 -0.004175 0.999830
1335706067.011222 -313.546529 -387.439665 11.809867 0.003100 0.019751 -0.005342 0.999786
1335706068.211271 -313.613427 -387.449568 11.824083 0.001437 0.014623 -0.005968 0.999874
1335706069.011311 -313.589595 -387.455690 11.821561 0.001684 0.016362 -0.007895 0.999834
1335706072.211471 -313.614441 -387.480762 11.803587 -0.000409 0.019272 -0.436977 0.899266
1335706072.611495 -313.542227 -387.651861 11.787896 0.005509 0.027559 -0.479305 0.877198
1335706105.413172 -313.678918 -387.823816 11.764952 -0.001479 0.028853 -0.533706 0.845176
1335706107.413253 -313.692796 -387.823914 11.770109 -0.003293 0.027063 -0.534506 0.844725
1335706116.613709 -313.704918 -387.939167 11.772622 -0.005795 0.026552 -0.536574 0.843415
1335706119.413864 -313.718513 -387.957559 11.773621 -0.007470 0.025133 -0.537549 0.842825
1335706121.813982 -313.751925 -387.948578 11.787777 -0.011587 0.020766 -0.523792 0.851514
1335706122.214005 -313.841085 -387.878657 11.812233 -0.021844 0.010030 -0.496511 0.867698
1335706122.614024 -314.117333 -387.505251 11.833704 -0.010823 0.006936 -0.458497 0.888603
1335706123.014043 -313.537373 -387.426584 11.650437 0.007647 -0.005120 -0.435244 0.900265
1335706123.814084 -313.140181 -387.456741 11.251957 0.044936 0.036742 -0.436947 0.897613
1335706124.214110 -312.809655 -387.843178 11.120422 0.051496 0.042340 -0.420249 0.904956
1335706124.614127 -312.784462 -387.995566 11.045605 0.060228 0.059071 -0.389030 0.917354
1335706125.014148 -312.599724 -388.436830 10.711021 0.080294 0.096280 -0.367332 0.921602
1335706125.414165 -312.444398 -388.892644 10.313550 0.093540 0.133534 -0.375416 0.912404
1335706125.814187 -312.475760 -388.802488 10.440307 0.091800 0.117989 -0.357137 0.922011
1335706126.214204 -312.512882 -388.639337 10.640045 0.084533 0.097298 -0.342180 0.930753
1335706127.014266 -312.844201 -388.048847 11.066157 0.066475 0.049175 -0.306999 0.948111
