# timestamp x y z qx qy qz qw
1326030975.736588 0.348864 0.224259 0.585904 -0.065622 -0.019857 -0.024562 0.997345
1326030976.124835 0.340182 0.222994 0.586297 -0.065860 -0.023967 -0.028208 0.997142
1326030976.525227 0.341083 0.223122 0.586257 -0.065849 -0.024767 -0.028203 0.997123
1326030976.924932 0.349730 0.224097 0.585973 -0.065805 -0.017978 -0.024927 0.997359
1326030977.324517 0.344009 0.223537 0.586125 -0.065875 -0.018338 -0.027028 0.997293
1326030977.726554 0.339047 0.222830 0.586348 -0.065751 -0.019842 -0.027935 0.997248
1326030978.126953 0.338615 0.222769 0.586367 -0.065976 -0.025697 -0.028265 0.997090
1326030978.524749 0.353688 0.223380 0.586286 -0.066216 -0.016515 -0.024773 0.997361
1326030978.924642 0.347071 0.223981 0.585986 -0.066267 -0.020137 -0.027347 0.997224
1326030979.324406 0.343270 0.223430 0.586159 -0.066555 -0.016033 -0.028868 0.997236
1326030979.726773 0.337700 0.222640 0.586407 -0.066526 -0.022566 -0.028746 0.997115
1326030980.124550 0.346943 0.223962 0.585992 -0.066046 -0.015499 -0.027095 0.997328
1326030980.724803 0.348853 0.224248 0.585905 -0.066160 -0.015218 -0.027456 0.997315
1326030981.124871 0.340281 0.223014 0.586292 -0.066243 -0.017578 -0.028489 0.997242
1326030981.526754 0.341963 0.223253 0.586217 -0.066116 -0.019798 -0.028386 0.997212
1326030981.924716 0.352408 0.223605 0.586185 -0.065476 -0.010889 -0.026767 0.997436
1326030982.326707 0.352610 0.223568 0.586201 -0.065760 -0.008235 -0.026849 0.997440
1326030982.724770 0.329955 0.221554 0.586745 -0.066038 -0.024605 -0.025197 0.997195
1326030983.124793 0.337635 0.222648 0.586410 -0.066034 -0.014980 -0.025752 0.997373
1326030983.524555 0.349961 0.224081 0.585990 -0.065800 -0.005068 -0.027745 0.997434
1326030983.924737 0.333497 0.222089 0.586591 -0.066042 -0.017201 -0.027541 0.997288
1326030984.326235 0.327689 0.221274 0.586842 -0.066081 -0.017569 -0.025723 0.997328
1326030984.726660 0.339822 0.223003 0.586312 -0.066303 -0.017390 -0.026379 0.997299
1326030985.124527 0.351762 0.223787 0.586132 -0.065618 -0.007185 -0.027595 0.997437
1326030985.524573 0.338583 0.222842 0.586366 -0.065789 -0.015744 -0.028814 0.997293
1326030985.924697 0.327766 0.221327 0.586838 -0.066343 -0.021009 -0.025662 0.997246
1326030986.325807 0.345340 0.223846 0.586063 -0.066227 -0.013423 -0.026542 0.997361
1326030986.724830 0.346807 0.224061 0.585996 -0.066046 -0.017468 -0.028098 0.997268
1326030987.124753 0.346395 0.224001 0.586015 -0.065864 -0.013978 -0.028802 0.997315
1326030987.525906 0.339367 0.222994 0.586331 -0.065797 -0.023090 -0.027300 0.997192
1326030987.924903 0.340767 0.223195 0.586268 -0.065970 -0.022622 -0.027217 0.997194
1326030988.325730 0.355088 0.223235 0.586394 -0.065842 -0.015952 -0.027763 0.997316
1326030988.724593 0.345358 0.223864 0.586062 -0.066206 -0.024531 -0.028886 0.997086
1326030989.124525 0.346711 0.224058 0.586000 -0.066131 -0.029142 -0.028889 0.996967
1326030989.525439 0.358984 0.222529 0.586701 -0.065890 -0.021507 -0.026320 0.997248
1326030989.925014 0.348682 0.224332 0.585912 -0.065904 -0.029306 -0.029126 0.996970
1326030990.324665 0.346179 0.223975 0.586024 -0.066131 -0.033781 -0.028968 0.996818
1326030990.724907 0.363271 0.221750 0.587039 -0.066091 -0.023865 -0.025807 0.997194
1326030991.124266 0.358562 0.222594 0.586668 -0.066266 -0.031920 -0.025736 0.996959
1326030991.525244 0.357649 0.222757 0.586596 -0.066227 -0.025676 -0.025855 0.997139
1326030991.924907 0.349778 0.224188 0.585974 -0.066465 -0.033126 -0.029127 0.996813
1326030992.325075 0.356201 0.223014 0.586482 -0.066282 -0.028439 -0.027987 0.997003
1326030992.724535 0.363329 0.221731 0.587043 -0.066539 -0.028677 -0.025510 0.997045
1326030993.124780 0.360954 0.222156 0.586857 -0.066425 -0.025466 -0.026181 0.997123
1326030993.526303 0.354822 0.223260 0.586374 -0.066615 -0.026567 -0.027736 0.997039
1326030993.924878 0.356097 0.223029 0.586474 -0.066799 -0.027691 -0.028387 0.996978
