# timestamp x y z qx qy qz qw
1335704127.712909 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1335704128.112920 0.011591 -0.011757 -0.009965 0.000211 0.000405 0.000494 1.000000
1335704128.512940 0.014025 -0.035670 -0.011447 0.000412 0.001358 0.000320 0.999999
1335704128.912963 0.014444 -0.005609 -0.003082 0.000153 0.000119 -0.000174 1.000000
1335704129.312981 0.014174 -0.007347 -0.001800 0.000174 0.000318 0.000272 1.000000
1335704129.713031 0.005374 -0.014266 -0.003229 0.000182 0.000113 0.000024 1.000000
1335704130.113040 0.019140 -0.028867 -0.008295 0.000292 0.001362 0.000912 0.999999
1335704130.513037 0.015449 -0.013720 -0.006700 0.000217 0.000526 0.000047 1.000000
1335704130.913063 0.015523 -0.014591 -0.003827 0.000211 0.000477 -0.000048 1.000000
1335704131.313089 0.021598 -0.009615 -0.004429 0.000208 0.000471 0.000078 1.000000
1335704131.713120 0.029719 -0.029058 -0.006628 0.000245 0.000586 0.000473 1.000000
1335704132.113151 0.028992 -0.020602 -0.001992 0.000225 0.000474 0.000258 1.000000
1335704132.513154 0.023953 -0.009576 -0.001784 0.000178 0.000311 -0.000001 1.000000
1335704132.913184 0.026266 -0.013607 -0.003743 0.000195 0.000424 0.000253 1.000000
1335704133.313210 0.025278 -0.026127 -0.005297 0.000221 0.000600 0.000987 0.999999
1335704133.713225 0.022353 -0.032086 -0.013166 0.000290 0.001097 0.000835 0.999999
1335704134.113262 0.008005 -0.037611 -0.015129 0.000294 0.001075 -0.000142 0.999999
1335704134.513265 -0.003680 -0.045062 -0.011039 0.000276 0.000947 -0.000148 1.000000
1335704134.913289 0.014547 -0.039720 -0.010719 0.000272 0.000835 -0.000129 1.000000
1335704135.313306 0.025448 -0.031546 -0.008159 0.000255 0.000710 0.000261 1.000000
1335704135.713330 0.005351 -0.040947 -0.014215 0.000290 0.000974 0.000137 0.999999
1335704136.113363 0.007629 -0.043500 -0.016639 0.000272 0.001409 -0.000008 0.999999
1335704136.513370 0.001285 -0.033949 -0.010757 0.000277 0.000935 -0.000198 1.000000
1335704136.913381 0.010807 -0.036527 -0.010784 0.000252 0.000748 0.000011 1.000000
1335704137.313411 -0.000363 -0.054412 -0.009339 0.000384 0.001482 0.000266 0.999999
1335704137.713430 -0.002473 -0.042626 -0.013768 0.000298 0.001086 -0.000287 0.999999
1335704138.113454 0.011834 -0.072776 -0.084445 0.000592 0.004004 -0.000269 0.999992
1335704138.513463 -0.000125 -0.039304 -0.012377 0.000298 0.000971 -0.000586 0.999999
1335704138.913490 -0.003374 -0.047979 -0.016215 0.000332 0.001340 -0.000434 0.999999
1335704139.313524 0.002229 -0.065927 -0.030855 0.000452 0.002028 -0.000521 0.999998
1335704139.713527 0.006028 -0.065706 -0.058449 0.000522 0.002982 -0.000505 0.999995
1335704140.113553 -0.002265 -0.042466 -0.015176 0.000299 0.001002 -0.000478 0.999999
1335704140.513575 -0.001025 -0.054286 -0.016637 0.000277 0.001293 -0.000159 0.999999
1335704140.913594 0.007791 -0.107025 -0.055886 0.000541 0.002691 -0.000960 0.999996
1335704141.313628 -0.001813 -0.066658 -0.042092 0.000465 0.002189 -0.000923 0.999997
1335704141.713638 -0.008602 -0.047966 -0.016579 0.000319 0.001250 -0.000756 0.999999
1335704142.113657 0.002431 -0.050402 -0.016260 0.000330 0.001203 -0.000268 0.999999
1335704142.513679 0.002141 -0.063378 -0.037318 0.000354 0.002051 0.000112 0.999998
1335704142.913704 0.005807 -0.042991 -0.011200 0.000269 0.000849 -0.000129 1.000000
1335704143.313721 -0.027604 -0.026392 0.015918 0.000001 -0.001117 -0.000066 0.999999
1335704143.713739 0.019640 -0.052464 -0.015275 0.000309 0.001149 0.000505 0.999999
1335704144.113759 0.034151 -0.049473 -0.014080 0.000272 0.000850 0.000100 1.000000
1335704144.513777 0.015560 -0.049254 -0.013583 0.000293 0.001031 -0.000260 0.999999
1335704144.913790 -0.017385 -0.044527 0.029385 0.000035 -0.001329 -0.001024 0.999999
1335704145.313823 0.035179 -0.055875 -0.010334 0.000311 0.000974 0.000546 0.999999
1335704145.713831 0.036143 -0.053200 -0.005921 0.000285 0.000612 -0.000132 1.000000
1335704146.113863 0.032843 -0.054773 -0.011427 0.000282 0.000859 0.000132 1.000000
1335704146.513885 0.058144 -0.044130 -0.013866 0.000288 0.000781 0.001023 0.999999
1335704146.913903 0.043069 -0.051503 -0.010082 0.000279 0.000865 0.000572 0.999999
1335704147.313926 0.037068 -0.051026 -0.010895 0.000313 0.000765 0.000446 1.000000
1335704147.713943 0.021895 -0.020942 0.005379 0.000142 -0.000155 0.000389 1.000000
1335704148.113964 0.024817 -0.031118 0.004446 0.000204 -0.000065 0.000064 1.000000
1335704148.513987 0.009743 -0.043764 0.007729 0.000200 -0.000211 0.001576 0.999999
1335704148.914023 0.041149 -0.062521 -0.076576 0.000877 -0.024251 -0.000785 0.999705
1335704149.314027 0.116928 -0.005410 -0.090124 -0.000933 -0.048756 -0.016984 0.998666
1335704149.714038 0.200980 0.008093 -0.075592 -0.002696 -0.104582 -0.055505 0.992963
1335704150.114065 0.427161 -0.029727 0.058548 -0.005853 -0.124186 -0.105475 0.986620
1335704150.514081 0.881212 -0.167194 0.066375 -0.001165 -0.082478 -0.158799 0.983859
1335704150.914107 1.400743 -0.452185 0.018494 0.006216 -0.048279 -0.203705 0.977821
1335704151.314129 1.980291 -0.646288 -0.059678 0.002597 -0.026557 -0.219603 0.975224
1335704151.714150 2.526493 -0.880724 0.061855 0.003248 0.000959 -0.218602 0.975808
1335704152.114169 3.099910 -1.141987 0.224047 0.007536 0.012777 -0.218790 0.975659
1335704152.514257 3.698350 -1.411013 0.202800 0.018864 0.011035 -0.222361 0.974720
1335704152.914215 3.992414 -1.592848 0.039288 0.027938 0.014197 -0.230063 0.972671
1335704153.314358 4.242319 -1.795680 0.031898 0.006230 -0.035840 -0.236794 0.970879
1335704153.714253 4.528701 -1.928095 0.082740 -0.001597 -0.053690 -0.228285 0.972112
1335704154.114323 5.058462 -2.087507 0.231558 0.006124 -0.054781 -0.229582 0.971727
1335704154.514306 5.584236 -2.339727 0.174450 0.007677 -0.060906 -0.229750 0.971312
1335704154.914314 6.137161 -2.583829 0.131633 0.013114 -0.045624 -0.233544 0.971187
1335704155.314338 6.698804 -2.871178 0.146883 0.020524 -0.028611 -0.236008 0.971113
1335704155.714358 7.312468 -3.220106 0.187609 0.036657 0.043316 -0.234902 0.970361
1335704156.114387 7.649898 -3.445713 0.382100 0.025054 0.003086 -0.240584 0.970300
1335704156.514386 8.131298 -3.658163 0.120209 0.015152 -0.034134 -0.235068 0.971261
1335704156.914407 8.499572 -3.839526 0.146248 0.021028 -0.026203 -0.237069 0.970912
1335704157.314438 8.929161 -4.065069 0.269842 0.016339 -0.049456 -0.244944 0.968137
1335704157.714456 9.458578 -4.299732 0.278819 0.013134 -0.046540 -0.245620 0.968159
1335704158.114478 9.983475 -4.592340 0.152506 0.014090 -0.037779 -0.249958 0.967417
