# timestamp x y z qx qy qz qw
1335704127.712909 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1335704128.112920 0.012530 -0.012507 -0.001224 0.000104 0.000164 0.000521 1.000000
1335704128.512940 0.027527 0.008063 -0.009140 0.000219 0.001046 0.001205 0.999999
1335704128.912963 0.011747 0.001559 -0.001695 0.000089 -0.000009 -0.000152 1.000000
1335704129.312981 0.011735 -0.007774 -0.004122 0.000084 0.000267 0.000263 1.000000
1335704129.713031 0.022208 0.008712 -0.002167 0.000086 0.000155 0.000694 1.000000
1335704130.113040 0.023640 -0.009596 -0.003893 0.000219 0.001167 0.001296 0.999998
1335704130.513037 0.018411 -0.013061 -0.003102 0.000151 0.000387 0.000123 1.000000
1335704130.913063 0.012981 -0.003851 -0.000569 0.000133 0.000343 0.000093 1.000000
1335704131.313089 0.027572 0.001444 -0.002359 0.000135 0.000315 0.000281 1.000000
1335704131.713120 0.029937 -0.016949 -0.003950 0.000144 0.000471 0.000688 1.000000
1335704132.113151 0.028593 -0.010231 -0.001099 0.000138 0.000361 0.000418 1.000000
1335704132.513154 0.025375 -0.002087 -0.001443 0.000087 0.000208 0.000107 1.000000
1335704132.913184 0.026176 -0.005476 -0.002238 0.000118 0.000288 0.000390 1.000000
1335704133.313210 0.026953 -0.016322 -0.001268 0.000142 0.000467 0.001242 0.999999
1335704133.713225 0.023425 -0.015425 -0.008842 0.000208 0.000925 0.001047 0.999999
1335704134.113262 0.008314 -0.017037 -0.010868 0.000187 0.000900 0.000194 1.000000
1335704134.513265 0.004001 -0.023330 -0.007820 0.000196 0.000822 0.000271 1.000000
1335704134.913289 0.021021 -0.027953 -0.007048 0.000193 0.000713 0.000218 1.000000
1335704135.313306 0.028227 -0.019410 -0.004556 0.000165 0.000583 0.000571 1.000000
1335704135.713330 0.011077 -0.022612 -0.009616 0.000184 0.000780 0.000386 1.000000
1335704136.113363 -0.004137 -0.040649 -0.014833 0.000179 0.001143 -0.000105 0.999999
1335704136.513370 0.002273 -0.018865 -0.010690 0.000178 0.000807 0.000085 1.000000
1335704136.913381 0.013994 -0.021882 -0.007441 0.000164 0.000617 0.000177 1.000000
1335704137.313411 -0.007377 -0.042312 -0.008230 0.000321 0.001427 0.000454 0.999999
1335704137.713430 0.000971 -0.027853 -0.011542 0.000222 0.000957 0.000004 1.000000
1335704138.113454 -0.000516 -0.056078 -0.047325 0.000414 0.002854 0.000212 0.999996
1335704138.513463 0.002784 -0.028093 -0.011059 0.000194 0.000812 -0.000372 1.000000
1335704138.913490 0.001842 -0.035616 -0.012813 0.000246 0.001143 -0.000140 0.999999
1335704139.313524 -0.001026 -0.045404 -0.021045 0.000270 0.001600 -0.000165 0.999999
1335704139.713527 -0.000990 -0.050784 -0.033747 0.000353 0.002178 -0.000207 0.999998
1335704140.113553 0.002721 -0.032324 -0.011275 0.000197 0.000823 -0.000233 1.000000
1335704140.513575 0.000375 -0.038467 -0.013391 0.000207 0.001172 0.000028 0.999999
1335704140.913594 -0.007482 -0.046394 -0.015522 0.000259 0.001384 0.000136 0.999999
1335704141.313628 -0.006700 -0.046938 -0.018485 0.000307 0.001388 -0.000444 0.999999
1335704141.713638 -0.008474 -0.037747 -0.011442 0.000244 0.001123 -0.000389 0.999999
1335704142.113657 0.002736 -0.024322 -0.012444 0.000202 0.000998 0.000117 0.999999
1335704142.513679 0.006504 -0.048990 -0.015761 0.000232 0.001400 0.000603 0.999999
1335704142.913704 0.014332 -0.030517 -0.007190 0.000187 0.000718 0.000248 1.000000
