#timestamp x y z qx qy qz qw
414.284000 -0.000000 -0.000000 0.165000 0.000000 0.707107 -0.707107 -0.000000
466.688000 -0.090118 -0.462869 0.165000 0.106394 0.699057 -0.699057 -0.106394
467.744000 -0.316276 -1.040957 0.165000 0.144296 0.692227 -0.692227 -0.144296
468.768000 -0.705039 -1.866440 0.165000 0.163177 0.688021 -0.688021 -0.163177
469.824000 -1.150319 -2.705993 0.165000 -0.177668 -0.684422 0.684423 0.177668
470.880000 -1.625759 -3.528884 0.165000 0.187989 0.681660 -0.681660 -0.187989
471.900000 -2.105067 -4.311799 0.165000 -0.195177 -0.679636 0.679637 0.195177
472.956000 -2.615515 -5.113478 0.165000 0.200014 0.678229 -0.678229 -0.200014
473.980000 -3.119118 -5.885309 0.165000 0.202961 0.677353 -0.677353 -0.202961
475.104000 -3.678839 -6.727949 0.165000 0.205657 0.676539 -0.676539 -0.205657
476.256000 -4.258908 -7.587293 0.165000 0.208112 0.675788 -0.675788 -0.208112
477.280000 -4.780137 -8.347334 0.165000 0.210573 0.675025 -0.675025 -0.210573
478.304000 -5.306798 -9.103622 0.165000 0.212884 0.674300 -0.674300 -0.212884
479.360000 -5.786298 -9.784469 0.165000 0.216611 0.673112 -0.673112 -0.216611
480.384000 -6.087470 -10.082606 0.165000 0.330574 0.625077 -0.625077 -0.330573
481.404000 -6.600539 -10.385126 0.165000 0.362066 0.607378 -0.607378 -0.362066
482.428000 -7.412822 -10.795448 0.165000 0.377620 0.597832 -0.597832 -0.377620
483.452000 -8.253135 -11.173730 0.165000 0.389961 0.589857 -0.589857 -0.389961
484.476000 -9.107478 -11.519209 0.165000 -0.400101 -0.583026 0.583026 0.400101
485.532000 -9.998368 -11.850168 0.165000 0.406921 0.578287 -0.578287 -0.406920
486.588000 -10.895864 -12.162808 0.165000 0.411826 0.574804 -0.574804 -0.411826
487.644000 -11.593339 -12.340574 0.165000 -0.502758 -0.497227 0.497227 0.502758
488.832000 -11.836654 -12.222162 0.165000 -0.665269 -0.239618 0.239618 0.665269
489.852000 -12.187662 -11.721058 0.165000 -0.677450 -0.202637 0.202637 0.677450
490.908000 -12.688042 -10.915563 0.165000 -0.682125 -0.186293 0.186293 0.682125
491.932000 -13.137776 -10.112597 0.165000 -0.686830 -0.168120 0.168120 0.686830
492.988000 -13.552299 -9.257483 0.165000 -0.691054 -0.149817 0.149817 0.691054
494.044000 -13.929576 -8.385224 0.165000 -0.693543 -0.137834 0.137834 0.693543
495.100000 -14.281223 -7.502303 0.165000 -0.695319 -0.128573 0.128573 0.695319
496.156000 -14.610595 -6.610820 0.165000 -0.696644 -0.121191 0.121191 0.696644
497.280000 -14.944398 -5.655893 0.165000 -0.697582 -0.115668 0.115668 0.697582
498.300000 -15.236511 -4.785612 0.165000 -0.698076 -0.112648 0.112648 0.698076
499.324000 -15.523011 -3.909679 0.165000 -0.698539 -0.109743 0.109743 0.698539
500.348000 -15.803629 -3.031842 0.165000 -0.698796 -0.108091 0.108091 0.698796
501.404000 -16.087116 -2.124708 0.165000 -0.699198 -0.105459 0.105459 0.699198
502.428000 -16.358435 -1.243951 0.165000 -0.699226 -0.105276 0.105276 0.699226
503.448000 -16.608822 -0.431818 0.165000 -0.699212 -0.105372 0.105372 0.699212
504.472000 -16.724403 -0.057044 0.165000 -0.699212 -0.105372 0.105372 0.699212
507.672000 -16.799303 0.064821 0.165000 -0.605736 -0.364806 0.364806 0.605736
508.696000 -16.901169 0.062027 0.165000 0.375466 0.599187 -0.599187 -0.375466
509.752000 -17.253925 -0.214105 0.165000 0.294603 0.642813 -0.642813 -0.294603
510.776000 -17.909760 -0.796402 0.165000 0.286332 0.646540 -0.646540 -0.286332
511.800000 -18.585804 -1.422149 0.165000 0.279055 0.649714 -0.649714 -0.279055
512.820000 -19.232840 -2.073189 0.165000 0.260738 0.657279 -0.657279 -0.260738
513.844000 -19.845837 -2.761194 0.165000 0.242310 0.664293 -0.664293 -0.242310
514.868000 -20.418148 -3.477669 0.165000 -0.226919 -0.669707 0.669707 0.226919
515.924000 -20.783403 -3.954782 0.165000 -0.226919 -0.669707 0.669707 0.226919
520.080000 -20.874479 -4.082633 0.165000 -0.151951 -0.690587 0.690587 0.151951
521.104000 -20.874741 -4.186121 0.165000 -0.141354 0.692834 -0.692834 0.141354
522.128000 -20.624973 -4.541526 0.165000 -0.228414 0.669199 -0.669199 0.228414
523.184000 -20.066124 -5.250062 0.165000 -0.234328 0.667151 -0.667151 0.234328
524.240000 -19.465792 -5.986838 0.165000 -0.239636 0.665263 -0.665263 0.239636
525.264000 -18.874958 -6.694126 0.165000 0.242345 -0.664281 0.664281 -0.242345
526.284000 -18.281767 -7.394732 0.165000 -0.244128 0.663628 -0.663628 0.244128
527.376000 -17.643484 -8.142053 0.165000 -0.245196 0.663234 -0.663234 0.245196
528.432000 -17.024847 -8.863544 0.165000 -0.245476 0.663130 -0.663130 0.245476
529.488000 -16.406548 -9.585322 0.165000 0.245046 -0.663289 0.663289 -0.245046
530.508000 -15.809829 -10.282926 0.165000 -0.245109 0.663266 -0.663266 0.245109
531.632000 -15.151177 -11.050724 0.165000 0.245711 -0.663043 0.663043 -0.245711
532.656000 -14.550192 -11.749411 0.165000 0.246124 -0.662890 0.662890 -0.246124
533.744000 -13.910974 -12.491188 0.165000 -0.246278 0.662833 -0.662833 0.246278
534.832000 -13.270541 -13.231915 0.165000 -0.248283 0.662084 -0.662084 0.248283
535.856000 -12.659393 -13.921721 0.165000 0.252810 -0.660369 0.660369 -0.252810
537.012000 -11.961650 -14.693460 0.165000 -0.255086 0.659493 -0.659493 0.255086
538.032000 -11.342641 -15.371363 0.165000 -0.256259 0.659038 -0.659038 0.256259
539.056000 -10.719091 -16.049988 0.165000 -0.257306 0.658630 -0.658630 0.257306
540.080000 -10.093335 -16.726580 0.165000 0.258161 -0.658295 0.658296 -0.258161
541.136000 -9.447050 -17.423412 0.165000 -0.258333 0.658228 -0.658228 0.258333
542.160000 -8.820090 -18.098888 0.165000 -0.258436 0.658188 -0.658188 0.258435
543.180000 -8.195705 -18.771841 0.165000 -0.257478 0.658563 -0.658563 0.257478
544.204000 -7.573108 -19.451338 0.165000 -0.255494 0.659335 -0.659335 0.255494
545.228000 -6.952119 -20.132305 0.165000 -0.255908 0.659175 -0.659175 0.255907
546.252000 -6.329429 -20.811722 0.165000 -0.256528 0.658933 -0.658933 0.256528
547.272000 -5.708405 -21.487780 0.165000 0.256853 -0.658807 0.658807 -0.256853
548.328000 -5.276175 -22.039164 0.165000 -0.149698 0.691079 -0.691079 0.149698
549.352000 -5.180675 -22.513987 0.165000 0.022381 -0.706752 0.706753 -0.022381
550.408000 -5.197808 -23.050142 0.165000 0.034945 0.706243 -0.706243 -0.034945
551.432000 -5.307970 -23.871220 0.165000 -0.056409 -0.704853 0.704853 0.056409
552.456000 -5.473724 -24.777733 0.165000 0.069875 0.703646 -0.703646 -0.069875
553.476000 -5.665932 -25.675358 0.165000 0.078961 0.702684 -0.702684 -0.078961
554.600000 -5.900022 -26.640728 0.165000 -0.087248 -0.701704 0.701704 0.087248
555.624000 -6.027658 -27.146059 0.165000 -0.087248 -0.701704 0.701704 0.087248
559.848000 -6.040533 -27.339945 0.165000 -0.119857 0.696875 -0.696875 0.119857
560.904000 -5.818640 -27.722052 0.165000 -0.224144 0.670641 -0.670641 0.224144
561.924000 -5.452146 -28.137728 0.165000 -0.265142 0.655515 -0.655515 0.265142
562.948000 -4.815610 -28.753628 0.165000 -0.285395 0.646954 -0.646954 0.285394
563.972000 -4.119646 -29.357634 0.165000 -0.300587 0.640037 -0.640037 0.300587
564.996000 -3.400613 -29.934057 0.165000 -0.310684 0.635197 -0.635197 0.310684
566.084000 -2.620942 -30.526436 0.165000 0.317102 -0.632017 0.632017 -0.317103
567.140000 -1.855876 -31.090288 0.165000 -0.320418 0.630343 -0.630343 0.320418
568.260000 -1.036575 -31.677464 0.165000 -0.326463 0.627234 -0.627234 0.326463
569.316000 -0.252765 -32.214931 0.165000 0.332881 -0.623851 0.623851 -0.332881
570.340000 0.519970 -32.717091 0.165000 0.341746 -0.619039 0.619039 -0.341746
571.364000 1.287171 -33.189770 0.165000 0.340510 -0.619720 0.619720 -0.340510
572.388000 2.003225 -33.675411 0.165000 -0.326972 0.626968 -0.626968 0.326972
573.408000 2.751134 -34.207706 0.165000 -0.321219 0.629935 -0.629935 0.321219
574.432000 3.478914 -34.745502 0.165000 -0.316714 0.632212 -0.632212 0.316714
575.520000 3.913764 -35.070599 0.165000 -0.316714 0.632212 -0.632212 0.316714
577.568000 4.013855 -35.143635 0.165000 -0.326321 0.627307 -0.627307 0.326321
578.656000 4.506699 -35.465313 0.165000 0.343321 -0.618167 0.618167 -0.343322
579.780000 5.371286 -35.975567 0.165000 0.357509 -0.610072 0.610072 -0.357509
580.800000 6.179650 -36.410545 0.165000 0.366830 -0.604513 0.604513 -0.366830
581.924000 7.082290 -36.867199 0.165000 -0.373383 0.600488 -0.600488 0.373383
582.948000 7.911334 -37.269722 0.165000 -0.376909 0.598281 -0.598281 0.376909
583.968000 8.730902 -37.661854 0.165000 -0.368077 0.603755 -0.603754 0.368077
584.992000 9.160950 -38.007786 0.165000 -0.166839 0.687142 -0.687142 0.166839
586.016000 9.179439 -38.167839 0.165000 -0.071051 -0.703528 0.703528 0.071051
587.040000 9.095731 -38.343166 0.165000 0.240354 0.665004 -0.665004 -0.240354
588.060000 8.954630 -38.443573 0.165000 0.403517 0.580667 -0.580667 -0.403517
589.084000 8.757360 -38.467560 0.165000 -0.527426 -0.470980 0.470980 0.527426
590.140000 8.654240 -38.420959 0.165000 -0.668753 -0.229716 0.229716 0.668753
591.228000 8.588258 -38.202484 0.165000 -0.706648 -0.025475 0.025475 0.706648
592.252000 8.650229 -37.968594 0.165000 -0.692377 0.143578 -0.143578 0.692377
593.308000 8.782807 -37.812920 0.165000 -0.618160 0.343334 -0.343334 0.618160
594.332000 9.021262 -37.715393 0.165000 -0.499684 0.500316 -0.500316 0.499684
595.356000 9.302102 -37.782997 0.165000 -0.371818 0.601458 -0.601458 0.371818
596.412000 9.455504 -37.953098 0.165000 0.197998 -0.678820 0.678820 -0.197998
597.468000 9.511083 -38.115284 0.165000 -0.082689 -0.702255 0.702255 0.082689
598.488000 9.446109 -38.189068 0.165000 0.390314 0.589623 -0.589623 -0.390314
599.512000 9.346171 -38.189968 0.165000 -0.581363 -0.402514 0.402514 0.581363
600.536000 9.201251 -38.061558 0.165000 -0.664264 -0.242390 0.242390 0.664264
601.560000 8.942381 -37.632450 0.165000 -0.692872 -0.141166 0.141166 0.692872
602.580000 8.796787 -37.144630 0.165000 -0.703784 -0.068471 0.068471 0.703784
603.672000 8.733130 -36.602840 0.165000 -0.706911 -0.016628 0.016628 0.706911
604.728000 8.737167 -36.012901 0.165000 -0.706819 0.020172 -0.020172 0.706819
605.748000 8.738091 -35.628716 0.165000 -0.701582 -0.088218 0.088218 0.701582
606.772000 8.675432 -35.552094 0.165000 -0.586186 -0.395457 0.395457 0.586186
607.796000 8.540023 -35.571053 0.165000 0.393007 0.587831 -0.587831 -0.393007
608.820000 8.087105 -35.816151 0.165000 0.348827 0.615077 -0.615077 -0.348827
609.840000 7.342113 -36.290054 0.165000 0.333582 0.623477 -0.623477 -0.333582
610.864000 6.584118 -36.814194 0.165000 0.323643 0.628693 -0.628693 -0.323643
611.920000 5.817519 -37.375927 0.165000 0.316198 0.632470 -0.632470 -0.316198
613.044000 5.013941 -37.990395 0.165000 -0.310725 -0.635177 0.635177 0.310724
614.064000 4.293186 -38.558918 0.165000 -0.306573 -0.637192 0.637192 0.306573
615.088000 3.575011 -39.136475 0.165000 0.304484 0.638192 -0.638192 -0.304484
616.144000 2.838087 -39.736641 0.165000 0.302660 0.639059 -0.639059 -0.302660
617.200000 2.104048 -40.340336 0.165000 0.301416 0.639647 -0.639647 -0.301416
618.224000 1.394178 -40.928066 0.165000 0.300453 0.640100 -0.640100 -0.300453
619.280000 0.720137 -41.489071 0.165000 -0.299995 -0.640315 0.640315 0.299995
620.532000 0.416165 -41.742264 0.165000 -0.299995 -0.640315 0.640315 0.299995
626.836000 0.302482 -41.793446 0.165000 -0.514405 -0.485167 0.485167 0.514405
627.924000 0.215895 -41.735649 0.165000 -0.683990 -0.179326 0.179326 0.683990
628.948000 0.127412 -41.414833 0.165000 -0.703687 -0.069456 0.069456 0.703687
629.972000 0.016120 -40.686646 0.165000 -0.705808 -0.042839 0.042839 0.705808
630.996000 -0.070176 -39.769199 0.165000 -0.706686 -0.024402 0.024402 0.706685
632.016000 -0.115962 -38.852386 0.165000 -0.707010 -0.011726 0.011726 0.707009
