name,safety,precision,efficiency,completion,speed,smoothness,composite_outdoor,composite_research,composite_production
52_v9_r1,0.497,0.687,0.000,0.124,0.000,0.576,0.181,0.203,0.173
52_v9_r4,0.224,0.675,0.000,0.054,0.000,0.738,0.142,0.172,0.108
53,0.803,0.613,0.811,0.333,0.000,0.143,0.275,0.266,0.268
55,0.665,0.630,0.890,0.287,0.000,0.978,0.300,0.284,0.257
56,0.778,0.630,0.000,0.697,0.576,0.988,0.620,0.631,0.688
58,0.692,0.614,0.000,0.759,0.000,0.848,0.529,0.564,0.567
59,0.607,0.460,0.793,0.802,1.000,0.990,0.712,0.671,0.719
60,0.730,0.304,0.902,0.551,1.000,0.590,0.657,0.574,0.694
61,0.567,0.000,0.722,0.469,1.000,0.000,0.449,0.359,0.535
62,0.153,0.000,0.734,0.753,1.000,0.813,0.450,0.392,0.447
