seq,wall_ts,x,y
0,1776513480.053,-77.600,-23.200
1,1776513480.053,-77.560,-23.277
2,1776513480.053,-77.527,-23.314
3,1776513480.053,-77.492,-23.351
4,1776513480.053,-77.459,-23.387
5,1776513480.053,-77.425,-23.425
6,1776513480.053,-77.391,-23.461
7,1776513480.053,-77.358,-23.498
8,1776513480.053,-77.324,-23.536
9,1776513480.053,-77.291,-23.573
10,1776513480.053,-77.257,-23.610
11,1776513480.053,-77.224,-23.647
12,1776513480.053,-77.190,-23.684
13,1776513480.053,-77.157,-23.721
14,1776513480.053,-77.123,-23.758
15,1776513480.053,-77.090,-23.795
16,1776513480.053,-77.056,-23.832
17,1776513480.053,-77.023,-23.870
18,1776513480.053,-76.989,-23.907
19,1776513480.053,-76.956,-23.944
20,1776513480.053,-76.922,-23.981
21,1776513480.053,-76.889,-24.018
22,1776513480.053,-76.856,-24.055
23,1776513480.053,-76.822,-24.093
24,1776513480.053,-76.789,-24.130
25,1776513480.053,-76.756,-24.167
26,1776513480.053,-76.722,-24.205
27,1776513480.053,-76.689,-24.242
28,1776513480.053,-76.656,-24.279
29,1776513480.053,-76.622,-24.316
30,1776513480.053,-76.589,-24.354
31,1776513480.053,-76.556,-24.391
32,1776513480.053,-76.522,-24.428
33,1776513480.053,-76.489,-24.466
34,1776513480.053,-76.456,-24.503
35,1776513480.053,-76.423,-24.540
36,1776513480.053,-76.389,-24.578
37,1776513480.053,-76.356,-24.615
38,1776513480.053,-76.323,-24.653
39,1776513480.053,-76.290,-24.690
40,1776513480.053,-76.257,-24.727
41,1776513480.053,-76.224,-24.765
42,1776513480.053,-76.191,-24.803
43,1776513480.053,-76.158,-24.840
44,1776513480.053,-76.125,-24.878
45,1776513480.053,-76.095,-24.918
46,1776513480.053,-76.068,-24.960
47,1776513480.053,-76.041,-25.002
48,1776513480.053,-76.011,-25.042
49,1776513480.053,-75.995,-25.089
50,1776513480.053,-75.979,-25.137
51,1776513480.053,-75.962,-25.183
52,1776513480.053,-75.940,-25.229
53,1776513480.053,-75.913,-25.271
54,1776513480.053,-75.883,-25.311
55,1776513480.053,-75.859,-25.354
56,1776513480.053,-75.840,-25.401
57,1776513480.053,-75.799,-25.429
58,1776513480.053,-75.768,-25.468
59,1776513480.053,-75.741,-25.510
60,1776513480.053,-75.700,-25.538
61,1776513480.053,-75.668,-25.577
62,1776513480.053,-75.637,-25.617
63,1776513480.053,-75.601,-25.651
64,1776513480.053,-75.575,-25.693
65,1776513480.053,-75.544,-25.733
66,1776513480.053,-75.496,-25.748
67,1776513480.053,-75.449,-25.765
68,1776513480.053,-75.399,-25.766
69,1776513480.053,-75.351,-25.778
70,1776513480.053,-75.307,-25.802
71,1776513480.053,-75.272,-25.838
72,1776513480.053,-75.231,-25.866
73,1776513480.053,-75.182,-25.875
74,1776513480.053,-75.136,-25.895
75,1776513480.053,-75.096,-25.926
76,1776513480.053,-75.070,-25.883
77,1776513480.053,-75.039,-25.844
78,1776513480.053,-74.990,-25.836
79,1776513480.053,-74.940,-25.827
80,1776513480.053,-74.891,-25.821
81,1776513480.053,-74.841,-25.814
82,1776513480.053,-74.791,-25.809
83,1776513480.053,-74.742,-25.800
84,1776513480.053,-74.711,-25.761
85,1776513480.053,-74.662,-25.749
86,1776513480.053,-74.617,-25.727
87,1776513480.053,-74.610,-25.677
88,1776513480.053,-74.563,-25.661
89,1776513480.053,-74.520,-25.635
90,1776513480.053,-74.522,-25.585
91,1776513480.053,-74.474,-25.572
92,1776513480.053,-74.429,-25.550
93,1776513480.053,-74.392,-25.517
94,1776513480.053,-74.384,-25.467
95,1776513480.053,-74.382,-25.417
96,1776513480.053,-74.396,-25.369
97,1776513480.053,-74.418,-25.325
98,1776513480.053,-74.440,-25.279
99,1776513480.053,-74.468,-25.238
100,1776513480.053,-74.500,-25.200
101,1776513480.053,-74.614,-25.122
