plan_id,wall_ts,n_poses,path_length_m,robot_x,robot_y,goal_x,goal_y
0,1776513371.640,87,4.45,-88.089,-15.030,-84.833,-18.017
1,1776513371.643,87,4.45,-88.089,-15.030,-84.833,-18.017
2,1776513381.655,71,3.62,-87.464,-15.771,-84.833,-18.017
3,1776513381.657,71,3.62,-87.464,-15.771,-84.833,-18.017
4,1776513386.214,144,7.28,-87.117,-16.172,-81.587,-20.336
5,1776513386.218,144,7.28,-87.117,-16.172,-81.587,-20.336
6,1776513396.272,122,6.18,-86.293,-16.962,-81.587,-20.336
7,1776513396.276,122,6.18,-86.293,-16.962,-81.587,-20.336
8,1776513406.330,98,4.96,-85.281,-17.702,-81.587,-20.336
9,1776513406.333,98,4.96,-85.281,-17.702,-81.587,-20.336
10,1776513416.386,69,3.52,-84.169,-18.470,-81.587,-20.336
11,1776513416.389,69,3.52,-84.169,-18.470,-81.587,-20.336
12,1776513417.898,144,7.27,-83.953,-18.615,-78.223,-22.648
13,1776513417.903,144,7.27,-83.953,-18.615,-78.223,-22.648
14,1776513427.913,116,5.97,-82.793,-19.317,-78.223,-22.648
15,1776513427.917,116,5.97,-82.793,-19.317,-78.223,-22.648
16,1776513437.930,95,4.82,-81.674,-19.956,-78.223,-22.648
17,1776513437.933,95,4.82,-81.674,-19.956,-78.223,-22.648
18,1776513447.944,65,3.80,-80.683,-20.585,-78.223,-22.648
19,1776513447.946,65,3.80,-80.683,-20.585,-78.223,-22.648
20,1776513449.958,143,7.38,-80.510,-20.726,-74.914,-24.922
21,1776513449.963,143,7.38,-80.510,-20.726,-74.914,-24.922
22,1776513459.975,117,5.92,-79.596,-21.524,-74.914,-24.922
23,1776513459.978,117,5.92,-79.596,-21.524,-74.914,-24.922
24,1776513469.991,89,4.50,-78.655,-22.390,-74.914,-24.922
25,1776513469.993,89,4.50,-78.655,-22.390,-74.914,-24.922
26,1776513480.050,102,5.17,-77.708,-23.213,-74.614,-25.122
27,1776513480.053,102,5.17,-77.708,-23.213,-74.614,-25.122
28,1776513482.564,163,8.34,-77.459,-23.417,-71.638,-27.281
29,1776513482.571,163,8.34,-77.459,-23.417,-71.638,-27.281
30,1776513492.586,152,7.69,-76.616,-23.815,-71.638,-27.281
31,1776513492.592,152,7.69,-76.616,-23.815,-71.638,-27.281
32,1776513502.602,140,7.10,-75.683,-23.677,-71.638,-27.281
33,1776513502.607,140,7.10,-75.683,-23.677,-71.638,-27.281
34,1776513512.619,138,7.00,-75.655,-23.624,-71.638,-27.281
35,1776513512.625,138,7.00,-75.655,-23.624,-71.638,-27.281
36,1776513522.641,122,6.67,-75.610,-23.568,-71.638,-27.281
37,1776513522.643,122,6.67,-75.610,-23.568,-71.638,-27.281
38,1776513532.656,123,6.49,-75.562,-23.528,-71.638,-27.281
39,1776513532.660,123,6.49,-75.562,-23.528,-71.638,-27.281
40,1776513542.671,114,5.83,-75.540,-23.523,-71.638,-27.281
41,1776513542.674,114,5.83,-75.540,-23.523,-71.638,-27.281
42,1776513552.687,114,5.83,-75.536,-23.521,-71.638,-27.281
43,1776513552.690,114,5.83,-75.536,-23.521,-71.638,-27.281
44,1776513562.705,116,6.03,-75.536,-23.523,-71.638,-27.281
45,1776513562.709,116,6.03,-75.536,-23.523,-71.638,-27.281
46,1776513572.721,119,6.10,-75.542,-23.529,-71.638,-27.281
47,1776513572.724,119,6.10,-75.542,-23.529,-71.638,-27.281
48,1776513582.735,116,6.03,-75.545,-23.534,-71.638,-27.281
49,1776513582.740,116,6.03,-75.545,-23.534,-71.638,-27.281
50,1776513592.753,120,6.12,-75.553,-23.543,-71.638,-27.281
51,1776513592.757,120,6.12,-75.553,-23.543,-71.638,-27.281
52,1776513602.768,116,6.03,-75.561,-23.554,-71.638,-27.281
53,1776513602.772,116,6.03,-75.561,-23.554,-71.638,-27.281
54,1776513612.784,119,6.10,-75.568,-23.563,-71.638,-27.281
55,1776513612.788,119,6.10,-75.568,-23.563,-71.638,-27.281
56,1776513622.801,112,6.17,-75.576,-23.573,-71.638,-27.281
57,1776513622.813,112,6.17,-75.576,-23.573,-71.638,-27.281
58,1776513632.827,112,6.17,-75.585,-23.585,-71.638,-27.281
59,1776513632.831,112,6.17,-75.585,-23.585,-71.638,-27.281
60,1776513642.841,112,6.17,-75.590,-23.593,-71.638,-27.281
61,1776513642.846,112,6.17,-75.590,-23.593,-71.638,-27.281
62,1776513652.856,109,6.02,-75.596,-23.602,-71.638,-27.281
63,1776513652.859,109,6.02,-75.596,-23.602,-71.638,-27.281
64,1776513662.872,112,6.17,-75.605,-23.617,-71.638,-27.281
65,1776513662.878,112,6.17,-75.605,-23.617,-71.638,-27.281
66,1776513672.889,109,6.02,-75.611,-23.625,-71.638,-27.281
67,1776513672.893,109,6.02,-75.611,-23.625,-71.638,-27.281
68,1776513682.906,115,6.32,-75.617,-23.635,-71.638,-27.281
69,1776513682.917,115,6.32,-75.617,-23.635,-71.638,-27.281
70,1776513692.920,125,6.34,-75.621,-23.644,-71.638,-27.281
71,1776513692.923,125,6.34,-75.621,-23.644,-71.638,-27.281
72,1776513702.936,125,6.34,-75.625,-23.651,-71.638,-27.281
73,1776513702.940,125,6.34,-75.625,-23.651,-71.638,-27.281
74,1776513712.955,117,6.41,-75.628,-23.658,-71.638,-27.281
