time,phase,gt_x,gt_y,gt_z,gt_yaw,cmd_lin,cmd_ang
0.100,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
0.200,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
0.300,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
0.400,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
0.500,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
0.600,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
0.700,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
0.800,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
0.900,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
1.000,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
1.100,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
1.200,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
1.300,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
1.400,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
1.500,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
1.600,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
1.700,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
1.800,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
1.900,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
2.000,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
2.100,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
2.200,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
2.300,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
2.400,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
2.500,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
2.600,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
2.700,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
2.800,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
2.900,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
3.000,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
3.100,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
3.200,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
3.300,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
3.400,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
3.500,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
3.600,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
3.700,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
3.800,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
3.900,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
4.000,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
4.100,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
4.200,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
4.300,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
4.400,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
4.500,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
4.600,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
4.700,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
4.800,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
4.900,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
5.000,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
5.100,outbound,-94.959,-6.007,0.086,0.0653,0.000,0.000
5.200,outbound,-94.956,-6.007,0.086,0.0631,0.800,-0.063
5.300,outbound,-94.918,-6.005,0.085,0.0507,0.800,0.063
5.400,outbound,-94.846,-6.001,0.088,0.0502,0.800,0.063
5.500,outbound,-94.763,-5.997,0.087,0.0491,0.758,0.063
5.600,outbound,-94.684,-5.994,0.087,0.0505,0.758,0.063
5.700,outbound,-94.604,-5.989,0.087,0.0518,0.800,0.063
5.800,outbound,-94.523,-5.986,0.086,0.0506,0.800,0.063
5.900,outbound,-94.443,-5.981,0.088,0.0493,0.800,0.063
6.000,outbound,-94.364,-5.978,0.087,0.0467,0.758,0.147
6.100,outbound,-94.286,-5.976,0.087,0.0475,0.758,0.147
6.200,outbound,-94.208,-5.973,0.088,0.0509,0.800,0.147
6.300,outbound,-94.126,-5.971,0.084,0.0558,0.800,0.189
6.400,outbound,-94.052,-5.960,0.088,0.0625,0.758,0.147
6.500,outbound,-93.971,-5.957,0.088,0.0678,0.758,0.105
6.600,outbound,-93.892,-5.951,0.089,0.0595,0.800,0.105
6.700,outbound,-93.811,-5.947,0.088,0.0633,0.800,0.189
6.800,outbound,-93.729,-5.943,0.085,0.0627,0.758,0.189
6.900,outbound,-93.649,-5.940,0.086,0.0688,0.758,0.189
7.000,outbound,-93.575,-5.938,0.087,0.0750,0.800,0.232
7.100,outbound,-93.496,-5.931,0.088,0.0848,0.800,0.189
7.200,outbound,-93.415,-5.928,0.088,0.0841,0.758,0.274
7.300,outbound,-93.337,-5.926,0.087,0.0827,0.758,0.147
7.400,outbound,-93.258,-5.922,0.087,0.0881,0.800,0.232
7.500,outbound,-93.177,-5.918,0.088,0.0867,0.800,0.274
7.600,outbound,-93.093,-5.913,0.088,0.0917,0.800,0.274
7.700,outbound,-93.010,-5.909,0.087,0.1099,0.758,0.274
7.800,outbound,-92.927,-5.904,0.088,0.1145,0.758,0.274
7.900,outbound,-92.848,-5.897,0.089,0.1198,0.800,0.274
8.000,outbound,-92.767,-5.887,0.087,0.1332,0.800,0.274
8.100,outbound,-92.685,-5.879,0.089,0.1365,0.758,0.274
8.200,outbound,-92.606,-5.867,0.089,0.1431,0.800,0.358
8.300,outbound,-92.530,-5.858,0.090,0.1598,0.800,0.400
8.400,outbound,-92.458,-5.850,0.089,0.1666,0.000,0.000
8.500,outbound,-92.400,-5.846,0.090,0.1581,0.758,-0.232
8.600,outbound,-92.329,-5.837,0.090,0.1427,0.800,-0.232
8.700,outbound,-92.249,-5.828,0.090,0.1429,0.800,-0.105
8.800,outbound,-92.164,-5.818,0.089,0.1417,0.800,0.232
8.900,outbound,-92.084,-5.808,0.088,0.1545,0.800,0.147
9.000,outbound,-92.004,-5.797,0.091,0.1609,0.800,0.147
9.100,outbound,-91.921,-5.787,0.090,0.1667,0.758,0.189
9.200,outbound,-91.839,-5.777,0.089,0.1742,0.800,0.189
9.300,outbound,-91.758,-5.765,0.088,0.1826,0.800,0.189
9.400,outbound,-91.677,-5.751,0.089,0.1883,0.800,0.147
9.500,outbound,-91.596,-5.738,0.091,0.1982,0.758,0.189
9.600,outbound,-91.516,-5.723,0.089,0.2098,0.758,0.189
9.700,outbound,-91.437,-5.708,0.089,0.2165,0.800,0.232
9.800,outbound,-91.356,-5.690,0.089,0.2217,0.800,0.232
9.900,outbound,-91.275,-5.672,0.089,0.2262,0.758,0.274
10.000,outbound,-91.198,-5.654,0.088,0.2313,0.800,0.316
10.100,outbound,-91.118,-5.637,0.087,0.2394,0.758,0.147
10.200,outbound,-91.038,-5.619,0.088,0.2410,0.800,0.189
10.300,outbound,-90.960,-5.599,0.088,0.2435,0.800,0.189
10.400,outbound,-90.879,-5.579,0.088,0.2472,0.800,0.232
10.500,outbound,-90.799,-5.558,0.088,0.2527,0.800,0.189
10.600,outbound,-90.723,-5.538,0.087,0.2541,0.800,0.232
10.700,outbound,-90.645,-5.514,0.087,0.2645,0.800,0.232
10.800,outbound,-90.564,-5.495,0.086,0.2672,0.800,0.232
10.900,outbound,-90.484,-5.473,0.086,0.2712,0.800,0.274
11.000,outbound,-90.404,-5.451,0.086,0.2740,0.758,0.105
11.100,outbound,-90.324,-5.430,0.085,0.2780,0.800,0.147
11.200,outbound,-90.244,-5.407,0.085,0.2799,0.800,0.189
11.300,outbound,-90.166,-5.384,0.086,0.2884,0.758,0.232
11.400,outbound,-90.089,-5.359,0.085,0.2973,0.800,0.274
11.500,outbound,-90.010,-5.335,0.085,0.3048,0.758,0.274
11.600,outbound,-89.933,-5.311,0.085,0.3128,0.800,0.316
11.700,outbound,-89.859,-5.288,0.085,0.3210,0.800,0.274
11.800,outbound,-89.780,-5.263,0.085,0.3273,0.800,0.232
11.900,outbound,-89.701,-5.237,0.085,0.3309,0.800,0.232
12.000,outbound,-89.620,-5.211,0.084,0.3368,0.800,0.274
12.100,outbound,-89.544,-5.183,0.085,0.3386,0.800,0.358
12.200,outbound,-89.471,-5.161,0.085,0.3462,0.800,0.316
12.300,outbound,-89.394,-5.132,0.084,0.3520,0.800,0.232
12.400,outbound,-89.317,-5.105,0.084,0.3560,0.800,0.274
